jsonl_line,task_id,api_group,api,generation_seed,ab_order,finish_reason,raw_token_count,generation_seconds,parseable,runnable,target_valid,oracle_bearing,error_labels,failure_cluster,exact_turn_delimiter,turn_delimiter_or_prefix,end_of_turn_count,start_of_turn_count,role_sequence,unclosed_markdown_fence,unclosed_quote,unclosed_bracket_depth,unclosed_brackets,unclosed_block_at_eof,compile_status,repeated_suffix_block_tokens,repeated_suffix_repetitions,ngram4_repeat_fraction,ngram4_max_count,ngram8_repeat_fraction,ngram8_max_count,output_chars,output_lines,prompt_echo_phrases,raw_output_sha256,ast_reason
1,trdgl_pytorch_120_v1|torch.amax|3407,reduction_and_statistics,torch.amax,3407,B2_then_B3,length,600,19.793,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,True,invalid,0,1,0.25,4,0.1490825688073395,3,2094,62,Generate a unit test,a552e5c3cfe86c15a3775c391e8d3a5925ac0655f20d41557aeb6a1f26b0f22e,"syntax: invalid syntax (<unknown>, line 22)"
2,trdgl_pytorch_120_v1|torch.amax|7711,reduction_and_statistics,torch.amax,7711,B3_then_B2,length,600,18.31,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,6,6,user>system>user>system>user>system,False,False,0,,False,invalid,0,1,0.65625,6,0.6261261261261262,3,2004,67,Generate rigorous PyTorch API tests,c055d8565af3f3e05f7f99ee49ceb3c39374bc14f239743791225cbf70d57d87,"syntax: invalid syntax (<unknown>, line 19)"
3,trdgl_pytorch_120_v1|torch.amin|3407,reduction_and_statistics,torch.amin,3407,B2_then_B3,length,600,19.842,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,True,0,,False,invalid,0,1,0.4545454545454546,6,0.30000000000000004,4,2132,50,Generate a unit test|Requirements:,0b644cca22b50a4d42405766ea11f59d75b19227b25a22c28793374c545b0b3a,"syntax: unterminated string literal (detected at line 25) (<unknown>, line 25)"
4,trdgl_pytorch_120_v1|torch.amin|7711,reduction_and_statistics,torch.amin,7711,B3_then_B2,length,600,18.392,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,0,,False,invalid,0,1,0.4093686354378818,6,0.3696098562628337,2,2175,60,Generate rigorous PyTorch API tests|Requirements:|Start with import torch,2bf77cc5c0f63d47623d6a916eea031a2040a67b7d7343c1842c357cd637cd79,"syntax: invalid syntax (<unknown>, line 22)"
5,trdgl_pytorch_120_v1|torch.arange|3407,tensor_creation,torch.arange,3407,B2_then_B3,length,600,19.284,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.2586206896551724,5,0.1169154228855721,3,2090,67,,ad9b0cb181397e1085fc4da50aad8fc0b33dccfe319316a8eff844fe5bba6213,"syntax: invalid syntax (<unknown>, line 26)"
6,trdgl_pytorch_120_v1|torch.arange|7711,tensor_creation,torch.arange,7711,B3_then_B2,length,600,17.666,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,1,user,False,False,0,,False,invalid,0,1,0.40497737556561086,6,0.226027397260274,4,2133,60,Generate a unit test|Requirements:,f531d13ee29cefdbaea58daa67d0efbebeedcd15024731e94736d512c1bdeeb7,"syntax: invalid syntax (<unknown>, line 22)"
7,trdgl_pytorch_120_v1|torch.argmax|3407,reduction_and_statistics,torch.argmax,3407,B2_then_B3,length,600,19.85,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,3,3,user>model>user,False,False,1,(,False,invalid,0,1,0.3239130434782609,4,0.23464912280701755,2,2114,59,,2435106e8b42830dcfaf92cec8655805076949b17e9de59e0e2da5ed1d5e063d,"syntax: invalid syntax (<unknown>, line 24)"
8,trdgl_pytorch_120_v1|torch.argmax|7711,reduction_and_statistics,torch.argmax,7711,B3_then_B2,length,600,18.309,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,0,,False,invalid,0,1,0.5774647887323944,5,0.5402843601895735,4,2004,51,Generate a unit test,75dcdbef33481efbe0bdb8c07a81b9ce201d08374e389ec6a407721783799d30,"syntax: invalid syntax (<unknown>, line 17)"
9,trdgl_pytorch_120_v1|torch.argmin|3407,reduction_and_statistics,torch.argmin,3407,B2_then_B3,length,600,19.317,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,4,user>model>user>model,False,False,1,(,False,invalid,0,1,0.5848214285714286,5,0.5247747747747749,5,1966,55,,8610c76765c77c9bd0977c2cea6409034e166d2707068a322c0f4b0eb9c3a417,"syntax: invalid syntax (<unknown>, line 20)"
10,trdgl_pytorch_120_v1|torch.argmin|7711,reduction_and_statistics,torch.argmin,7711,B3_then_B2,length,600,17.93,False,False,False,False,syntax,turn_delimiter_runaway_syntax,True,True,4,1,user,False,False,0,,False,invalid,0,1,0.31235955056179776,4,0.19727891156462585,4,1886,59,,3ccddcba7cb3313d0584f4d3add3355663d7aaaf170e385a54e9273e5960e304,"syntax: invalid syntax (<unknown>, line 26)"
