candidate_id,run_id,task_id,baseline,model_revision,api,api_group,generation_seed,raw,parseable,ast_pass,runnable,target_valid,oracle_bearing,reproducible,non_duplicate,minimized,stable_nightly,promoted,anomaly_present,duplicate_cluster,atlas_nearest_cluster,rejection_reason,error_labels,prompt_sha256,raw_output_sha256,generation_seconds,subprocess_seconds,evidence_source
evt-6d3bde95bd9958db,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.tensor|3407,B0,typed_random_template_v1,torch.tensor,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,87987932ac8129fa87a484f924b412fbc08d8ba90271d2f601d7de36fe30964f,0.0,2.814,benchmark_event:events.combined.jsonl:1
evt-a04e14ea5844cec4,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.as_tensor|3407,B0,typed_random_template_v1,torch.as_tensor,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,b1fdfd58d191dfd6a2669838891c1dc0c1c372e88781158cbb493829803d7cd1,0.0,2.737,benchmark_event:events.combined.jsonl:2
evt-5c62cd1ffd862d94,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.from_numpy|3407,B0,typed_random_template_v1,torch.from_numpy,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,1d4c9fd964c3c552e775c4fc290e38e6b5ef09318ad2c441b4ba4fd4f1c9cba5,0.0,2.268,benchmark_event:events.combined.jsonl:3
evt-ccf1586b6ee35bce,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.arange|3407,B0,typed_random_template_v1,torch.arange,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,0c5efef3cc7bfcf1255b6c86e04e690745a9191388ff936e416a73e46d5c75f1,0.0,2.237,benchmark_event:events.combined.jsonl:4
evt-2a1c510d730167bc,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.linspace|3407,B0,typed_random_template_v1,torch.linspace,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,59b023315d73e8c5c9f8a4726779fdad98cf5879f0cb78ae9a0186c254e6fb8d,0.0,2.31,benchmark_event:events.combined.jsonl:5
evt-0ad6529089b7d217,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.logspace|3407,B0,typed_random_template_v1,torch.logspace,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,c8fc831da34a92c7013be634b361c6b4a6770d3e92e19f8bc7d1922b442557ee,0.0,2.607,benchmark_event:events.combined.jsonl:6
evt-423ccf2e0fe28441,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.zeros|3407,B0,typed_random_template_v1,torch.zeros,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,1da81de44766adde0b893ce2e285045da33c1e0da21df3663f1c9482da793a86,0.0,2.854,benchmark_event:events.combined.jsonl:7
evt-6763d24213594879,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.ones|3407,B0,typed_random_template_v1,torch.ones,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,6139f0f011fe14ec7395367feb37e842491ac51d3cfc2381b13757c2b05480a3,0.0,2.352,benchmark_event:events.combined.jsonl:8
evt-15477d4d8e95c413,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.empty|3407,B0,typed_random_template_v1,torch.empty,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,bd9ab0c28dae06fd83879eed62cc9c3ed4107a9769f301b2ffedf35a40fabc10,0.0,2.291,benchmark_event:events.combined.jsonl:9
evt-f23a2f3338bc18bc,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.full|3407,B0,typed_random_template_v1,torch.full,tensor_creation,3407,True,True,True,True,True,False,,,,,,,,,oracle_bearing,no_oracle,e843f0e91fd9223a2a25150499f36d0c9a9af57c7e78fba248ec332fe1bb090b,20c633e0ff9acae27bc1e21b7f69df9d62843ac3dca417f951410024ace27709,0.0,2.284,benchmark_event:events.combined.jsonl:10
