api,generation_seed,has_b2,has_b3,same_prompt_hash,b2_event_id,b3_event_id,evidence_label
torch.amax,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.amax|3407,B3:trdgl_pytorch_120_v1|torch.amax|3407,diagnostic_checkpoint
torch.amax,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.amax|7711,B3:trdgl_pytorch_120_v1|torch.amax|7711,diagnostic_checkpoint
torch.amin,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.amin|3407,B3:trdgl_pytorch_120_v1|torch.amin|3407,diagnostic_checkpoint
torch.amin,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.amin|7711,B3:trdgl_pytorch_120_v1|torch.amin|7711,diagnostic_checkpoint
torch.arange,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.arange|3407,B3:trdgl_pytorch_120_v1|torch.arange|3407,diagnostic_checkpoint
torch.arange,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.arange|7711,B3:trdgl_pytorch_120_v1|torch.arange|7711,diagnostic_checkpoint
torch.argmax,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmax|3407,B3:trdgl_pytorch_120_v1|torch.argmax|3407,diagnostic_checkpoint
torch.argmax,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmax|7711,B3:trdgl_pytorch_120_v1|torch.argmax|7711,diagnostic_checkpoint
torch.argmin,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmin|3407,B3:trdgl_pytorch_120_v1|torch.argmin|3407,diagnostic_checkpoint
torch.argmin,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.argmin|7711,B3:trdgl_pytorch_120_v1|torch.argmin|7711,diagnostic_checkpoint
torch.as_tensor,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.as_tensor|3407,B3:trdgl_pytorch_120_v1|torch.as_tensor|3407,diagnostic_checkpoint
torch.as_tensor,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.as_tensor|7711,B3:trdgl_pytorch_120_v1|torch.as_tensor|7711,diagnostic_checkpoint
torch.autograd.functional.jacobian,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|3407,B3:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|3407,diagnostic_checkpoint
torch.autograd.functional.jacobian,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|7711,B3:trdgl_pytorch_120_v1|torch.autograd.functional.jacobian|7711,diagnostic_checkpoint
torch.autograd.grad,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.grad|3407,B3:trdgl_pytorch_120_v1|torch.autograd.grad|3407,diagnostic_checkpoint
torch.autograd.grad,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.autograd.grad|7711,B3:trdgl_pytorch_120_v1|torch.autograd.grad|7711,diagnostic_checkpoint
torch.bmm,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.bmm|3407,B3:trdgl_pytorch_120_v1|torch.bmm|3407,diagnostic_checkpoint
torch.bmm,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.bmm|7711,B3:trdgl_pytorch_120_v1|torch.bmm|7711,diagnostic_checkpoint
torch.cat,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.cat|3407,B3:trdgl_pytorch_120_v1|torch.cat|3407,diagnostic_checkpoint
torch.cat,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.cat|7711,B3:trdgl_pytorch_120_v1|torch.cat|7711,diagnostic_checkpoint
torch.chunk,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.chunk|3407,B3:trdgl_pytorch_120_v1|torch.chunk|3407,diagnostic_checkpoint
torch.chunk,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.chunk|7711,B3:trdgl_pytorch_120_v1|torch.chunk|7711,diagnostic_checkpoint
torch.compile,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.compile|3407,B3:trdgl_pytorch_120_v1|torch.compile|3407,diagnostic_checkpoint
torch.compile,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.compile|7711,B3:trdgl_pytorch_120_v1|torch.compile|7711,diagnostic_checkpoint
torch.dot,3407,True,True,True,B2:trdgl_pytorch_120_v1|torch.dot|3407,B3:trdgl_pytorch_120_v1|torch.dot|3407,diagnostic_checkpoint
torch.dot,7711,True,True,True,B2:trdgl_pytorch_120_v1|torch.dot|7711,B3:trdgl_pytorch_120_v1|torch.dot|7711,diagnostic_checkpoint
