source,source_role,source_sha256,source_record_index,baseline,category,harness_label,analyzer_label,task_id,api_group,api,generation_seed,raw_output_sha256,analyzer_evidence
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,217,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.conv1d|3407,convolution_and_pooling,torch.nn.functional.conv1d,3407,df1193ed88bf4c3129f59728fc7cd716d150872d7e4fed8bcb70fc89517407cf,harness target_call_present=false; AST matched F.conv1d -> torch.nn.functional.conv1d to torch.nn.functional.conv1d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,219,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.conv2d|3407,convolution_and_pooling,torch.nn.functional.conv2d,3407,37ef328cf6f37179883cd2027b36aa6972aef2135f8a0855071bceb96125105a,harness target_call_present=false; AST matched F.conv2d -> torch.nn.functional.conv2d to torch.nn.functional.conv2d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,222,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.conv3d|3407,convolution_and_pooling,torch.nn.functional.conv3d,3407,fff16717d9aff89087afd0ffa0e00470c8ad43db29f9b2da51c24a3ee8b1ead0,harness target_call_present=false; AST matched F.conv3d -> torch.nn.functional.conv3d to torch.nn.functional.conv3d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,223,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose1d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose1d,3407,6d41c92d3a57d0ff5011da74ee3d616c7fc9517ecf068b9bd7b73c74d379fb8a,harness target_call_present=false; AST matched F.conv_transpose1d -> torch.nn.functional.conv_transpose1d to torch.nn.functional.conv_transpose1d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,225,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose2d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose2d,3407,6baa93c716b35182118cb6132677788a98ca4cae4c0e7bc495bfff6fbc15ca90,harness target_call_present=false; AST matched F.conv_transpose2d -> torch.nn.functional.conv_transpose2d to torch.nn.functional.conv_transpose2d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,227,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.conv_transpose3d|3407,convolution_and_pooling,torch.nn.functional.conv_transpose3d,3407,f803af30ac3ac6dae80e3399ac4055ec63424f87cdee3e58c070b6ba2799d37c,harness target_call_present=false; AST matched F.conv_transpose3d -> torch.nn.functional.conv_transpose3d to torch.nn.functional.conv_transpose3d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,230,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.max_pool1d|3407,convolution_and_pooling,torch.nn.functional.max_pool1d,3407,a0505702aa14a4bba6211c31f6527f3520aaf77e246af507797f08c6768863eb,harness target_call_present=false; AST matched F.max_pool1d -> torch.nn.functional.max_pool1d to torch.nn.functional.max_pool1d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,231,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.max_pool2d|3407,convolution_and_pooling,torch.nn.functional.max_pool2d,3407,e3b3e7d9e05798690bd7ce7986d7ced43dd460affc5057e94370034f4a79a91c,harness target_call_present=false; AST matched F.max_pool2d -> torch.nn.functional.max_pool2d to torch.nn.functional.max_pool2d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,233,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.max_pool3d|3407,convolution_and_pooling,torch.nn.functional.max_pool3d,3407,422af829ad5b169aaaa238ff6371e460a7afe2517ef564a3887d9972cc5d35de,harness target_call_present=false; AST matched F.max_pool3d -> torch.nn.functional.max_pool3d to torch.nn.functional.max_pool3d
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,235,B1,wrong_or_missing_target_api,True,False,trdgl_pytorch_120_v1|torch.nn.functional.avg_pool1d|3407,convolution_and_pooling,torch.nn.functional.avg_pool1d,3407,252010530e1c651fd03951f186c185d7e544775a03289ed5bf16a5e490360c38,harness target_call_present=false; AST matched F.avg_pool1d -> torch.nn.functional.avg_pool1d to torch.nn.functional.avg_pool1d
